"IATA","ICAO"
VST,ESOW
LLA,ESPA
ARN,ESSA
BMA,ESSB
BLE,ESSD
HLF,ESSF
GVX,ESSK
LPI,ESSL
NRK,ESSP
VBY,ESSV
SPM,ETAD
RMS,ETAR
GHF,ETEU
ZCN,ETHC
ZNF,ETID
GKE,ETNG
RLG,ETNL
FEL,ETSF
IGS,ETSI
GUT,ETUO
ALJ,FAAB
AGZ,FAAG
BIY,FABE
BFN,FABL
CPT,FACT
DUR,FALE
ELS,FAEL
GCJ,FAGC
GRJ,FAGG
HDS,FAHS
JNB,FAJS
KIM,FAKM
KMH,FAKU
KLZ,FAKZ
HLA,FALA
LAY,FALY
MGH,FAMG
MEZ,FAMS
NCS,FANC
DUH,FAOH
PLZ,FAPE
PHW,FAPH
PZB,FAPM
NTY,FAPN
PTG,FAPP
UTW,FAQT
RCB,FARB
ROD,FARS
SBU,FASB
SIS,FASS
SZK,FASZ
LTA,FATZ
ULD,FAUL
UTN,FAUP
UTT,FAUT
VRU,FAVB
VIR,FAVG
PRY,FAWB
WEL,FAWM
FRW,FBFT
JWA,FBJW
BBK,FBKE
MUB,FBMN
GBE,FBSK
PKW,FBSP
BZV,FCBB
FTX,FCOO
OUE,FCOU
PNR,FCPP
MTS,FDMS
BGF,FEFF
BBT,FEFT
BSG,FGBT
SSG,FGSL
ASI,FHAW
MRU,FIMP
RRG,FIMR
TKC,FKKC
DLA,FKKD
MVR,FKKL
FOM,FKKM
NGE,FKKN
GOU,FKKR
BFX,FKKU
BPC,FKKV
YAO,FKKY
LVI,FLLI
LUN,FLLS
MFU,FLMF
NLA,FLND
KIW,FLSO
HAH,FMCH
NWA,FMCI
AJN,FMCV
DZA,FMCZ
RUN,FMEE
ZSE,FMEP
TNR,FMMI
ZVA,FMMN
SMS,FMMS
TMM,FMMT
MOQ,FMMV
DIE,FMNA
WMR,FMNC
ZWA,FMND
AMB,FMNE
ANM,FMNH
HVA,FMNL
MJN,FMNM
NOS,FMNN
BPY,FMNQ
WMN,FMNR
SVB,FMNS
VOH,FMNV
WAI,FMNW
IVA,FMNZ
FTU,FMSD
WFI,FMSF
RVA,FMSG
WVK,FMSK
MNJ,FMSM
MXM,FMSR
TLE,FMST
SSY,FNBC
BUG,FNBG
CAB,FNCA
NOV,FNHU
SVP,FNKU
LAD,FNLU
MEG,FNMA
SPP,FNME
GXG,FNNG
PBN,FNPA
VHC,FNSA
SZA,FNSO
SDD,FNUB
LUO,FNUE
UGO,FNUG
XGN,FNXA
OYE,FOGO
OKN,FOGQ
LBQ,FOGR
BMM,FOOB
POG,FOOG
OMB,FOOH
MKU,FOOK
LBV,FOOL
MVB,FOON
PCP,FPPR
TMS,FPST
BEW,FQBR
INH,FQIN
VXC,FQLC
MPM,FQMA
MZB,FQMP
MNC,FQNC
APL,FQNP
POL,FQPB
UEL,FQQL
TET,FQTT
VNX,FQVL
DES,FSDR
SEZ,FSIA
PRI,FSPP
AEH,FTTC
MQQ,FTTD
NDJ,FTTJ
FYT,FTTY
BUQ,FVBU
BFO,FVCZ
VFA,FVFA
HRE,FVHA
KAB,FVKB
MVZ,FVMV
GWE,FVTL
WKM,FVWN
BLZ,FWCL
KGJ,FWKA
LLW,FWKI
ZZU,FWUU
MSU,FXMM
FIH,FZAA
NLO,FZAB
MNB,FZAG
FDU,FZBO
KKW,FZCA
MDK,FZEA
BDT,FZFD
GMA,FZFK
LIQ,FZGA
FKI,FZIC
IRP,FZJH
BUX,FZKA
BKY,FZMA
GOM,FZNA
KND,FZOA
FBM,FZQA
KWZ,FZQM
FMI,FZRF
KMN,FZSA
KGA,FZUA
MJM,FZWA
BKO,GABS
GAQ,GAGO
KYS,GAKY
MZI,GAMB
TOM,GATB
BJL,GBYD
FUE,GCFV
VDE,GCHI
SPC,GCLA
LPA,GCLP
ACE,GCRR
TFS,GCTS
TFN,GCXO
MLN,GEML
FNA,GFLL
MLW,GLMR
ROB,GLRB
AGA,GMAD
TTA,GMAT
FEZ,GMFF
ERH,GMFK
MEK,GMFM
OUD,GMFO
RBA,GMME
CMN,GMMN
RAK,GMMX
NNA,GMMY
OZZ,GMMZ
AHU,GMTA
TTU,GMTN
TNG,GMTT
ZIG,GOGG
CSK,GOGS
KLC,GOOK
DKR,GOOY
XLS,GOSS
BXE,GOTB
KGG,GOTK
TUD,GOTT
IEO,GQNA
TIY,GQND
KFA,GQNF
EMN,GQNI
KED,GQNK
NKC,GQNN
SEY,GQNS
ATR,GQPA
NDB,GQPP
FIG,GUFA
FAA,GUFH
LEK,GULB
SID,GVAC
BVC,GVBA
MMO,GVMA
SNE,GVSN
VXE,GVSV
ADD,HAAB
AMH,HAAM
AXU,HAAX
BJR,HABD
DIR,HADR
GMB,HAGM
GDQ,HAGN
JIM,HAJM
LLI,HALL
